longitude	latitude	pollinator
-117.7128611	34.48343873	synthetica
-117.6976871	34.47433696	synthetica
-117.6945991	34.47248096	synthetica
-117.7011271	34.47640096	synthetica
-117.6869831	34.46803296	synthetica
-117.6856711	34.46726496	synthetica
-117.6828541	34.46563296	synthetica
-117.6817661	34.46496096	synthetica
-117.6689661	34.45732896	synthetica
-117.6770941	34.46217696	synthetica
-117.6620531	34.45324896	synthetica
-117.6611731	34.45259396	synthetica
-117.6598451	34.45187396	synthetica
-117.6552111	34.44863396	synthetica
-117.6595731	34.45148996	synthetica
-118.0053289	35.65060507	synthetica
-118.0050789	35.65055507	synthetica
-118.0049455	35.6504884	synthetica
-118.0047289	35.65050507	synthetica
-118.0046455	35.6504384	synthetica
-118.0043455	35.65040507	synthetica
-118.0043289	35.65050507	synthetica
-118.0044622	35.65060507	synthetica
-118.0044955	35.65065007	synthetica
-118.0046955	35.65065507	synthetica
-117.6427731	34.44059396	synthetica
-117.6471411	34.44331396	synthetica
-117.6481651	34.44399296	synthetica
-117.6488061	34.44441796	synthetica
-117.6514611	34.44617796	synthetica
-117.6460851	34.44262596	synthetica
-117.6446901	34.44176996	synthetica
-117.6303721	34.43236996	synthetica
-117.6319971	34.43345996	synthetica
-117.6306791	34.43257596	synthetica
-117.6382281	34.43745796	synthetica
-117.6339821	34.43479096	synthetica
-117.6371401	34.43684996	synthetica
-117.6363181	34.43633496	synthetica
-117.6337791	34.43465496	synthetica
-117.6193751	34.42625796	synthetica
-117.6163601	34.42481696	synthetica
-117.6196791	34.42642796	synthetica
-117.6214211	34.42731096	synthetica
-117.6205641	34.42692196	synthetica
-117.6250161	34.42895796	synthetica
-117.6051231	34.41930496	synthetica
-117.5998691	34.41672796	synthetica
-117.5993291	34.41646296	synthetica
-117.6060381	34.41975396	synthetica
-117.6080791	34.42075496	synthetica
-117.6077491	34.42059296	synthetica
-117.6085661	34.42099396	synthetica
-117.6074261	34.42052396	synthetica
-117.592611	34.41314296	synthetica
-117.589902	34.41181496	synthetica
-117.587331	34.41066996	synthetica
-117.585941	34.40987496	synthetica
-117.587148	34.41049796	synthetica
-117.5986101	34.41618796	synthetica
-117.594444	34.41411796	synthetica
-117.569529	34.38311396	synthetica
-117.574694	34.38825696	synthetica
-117.578539	34.39243896	synthetica
-117.575208	34.38965496	synthetica
-117.57619	34.39069896	synthetica
-117.579923	34.40444096	synthetica
-117.579094	34.40290696	synthetica
-117.579066	34.40192196	synthetica
-117.5794595	34.40079638	synthetica
-117.579288	34.40338996	synthetica
-117.584125	34.40899896	synthetica
-117.58219	34.40776196	synthetica
-117.581195	34.40691496	synthetica
-117.564198	34.38027696	synthetica
-117.557816	34.37727696	synthetica
-117.556877	34.37670396	synthetica
-117.555192	34.37592496	synthetica
-117.540278	34.36659096	synthetica
-117.541463	34.36789396	synthetica
-117.541769	34.36823096	synthetica
-117.542574	34.36911496	synthetica
-117.550336	34.37440896	synthetica
-117.544586	34.37122996	synthetica
-117.543895	34.37065696	synthetica
-117.544504	34.37114696	synthetica
-117.546298	34.37290196	synthetica
-117.54823	34.37382596	synthetica
-117.54187	34.36834196	synthetica
-117.520074	34.33253596	synthetica
-117.520738	34.33433196	synthetica
-117.518353	34.32846996	synthetica
-117.518946	34.32987196	synthetica
-117.524096	34.34228396	synthetica
-117.523316	34.34057596	synthetica
-117.521508	34.33613296	synthetica
-117.526997	34.35120696	synthetica
-117.526886	34.35051896	synthetica
-117.524956	34.34506696	synthetica
-117.52643	34.34918296	synthetica
-117.530364	34.35560596	synthetica
-117.53064	34.35594896	synthetica
-117.530751	34.35604096	synthetica
-117.532185	34.35765196	synthetica
-117.538868	34.36504396	synthetica
-117.535141	34.36110296	synthetica
-117.539423	34.36565296	synthetica
-117.53969	34.36594496	synthetica
-117.535129	34.36098396	synthetica
-117.505862	34.31992163	synthetica
-117.512044	34.32412696	synthetica
-117.514362	34.32545596	synthetica
-117.51439	34.32563896	synthetica
-117.51508	34.32612096	synthetica
-117.5165	34.32685196	synthetica
-117.4840453	34.31255496	synthetica
-117.4651953	34.34550496	synthetica
-117.9351623	36.21128847	synthetica
-117.935029	36.21143847	synthetica
-117.9348456	36.21107181	synthetica
-117.934779	36.21097181	synthetica
-117.934579	36.21118847	synthetica
-117.9345123	36.21133847	synthetica
-117.934129	36.21123847	synthetica
-117.9335623	36.21012181	synthetica
-117.9339123	36.21030514	synthetica
-117.3898287	34.41420497	synthetica
-117.3568453	34.45702165	synthetica
-117.4852788	34.90300502	synthetica
-117.4852788	34.90340502	synthetica
-117.4852621	34.90345502	synthetica
-117.4855454	34.90633835	synthetica
-117.4843621	34.90650502	synthetica
-117.4844788	34.90608835	synthetica
-117.4841788	34.90495502	synthetica
-117.4847788	34.90450502	synthetica
-117.4851288	34.90435502	synthetica
-117.4848788	34.90510502	synthetica
-117.8626149	36.23693605	synthetica
-117.8109752	36.12758891	synthetica
-117.3322953	34.48993831	synthetica
-117.8060059	36.12850597	synthetica
-117.5869454	35.47568841	synthetica
-117.5871621	35.47642175	synthetica
-117.5867288	35.47765508	synthetica
-117.5856454	35.47870508	synthetica
-117.5851788	35.48277175	synthetica
-117.5851788	35.48317175	synthetica
-117.5854288	35.48377175	synthetica
-117.5843954	35.48310508	synthetica
-117.5827621	35.48160508	synthetica
-117.5827788	35.47990508	synthetica
-117.7668122	36.21027182	synthetica
-117.281262	34.56653833	synthetica
-117.7643073	36.27130374	synthetica
-117.7642695	36.28113966	synthetica
-117.7657572	36.28183333	synthetica
-117.7706149	36.28665234	synthetica
-117.7581166	36.28161156	synthetica
-117.8244638	36.53234992	synthetica
-117.7467063	36.29360155	synthetica
-117.216862	34.47145499	synthetica
-117.9954741	37.19910923	synthetica
-117.9905015	37.20832692	synthetica
-117.196662	34.47152166	synthetica
-117.2340953	34.62295501	synthetica
-117.6645327	36.12554277	synthetica
-117.7647252	36.48827726	synthetica
-117.7691577	36.49168347	synthetica
-117.9837113	37.22782614	synthetica
-117.6837775	36.22634477	synthetica
-117.7289035	36.44704138	synthetica
-117.7159538	36.42331994	synthetica
-117.7647163	36.57246754	synthetica
-117.7652095	36.5794058	synthetica
-117.7092253	36.42922893	synthetica
-117.7455122	36.5675048	synthetica
-117.6771789	36.38280517	synthetica
-117.6782955	36.38140517	synthetica
-117.6799789	36.38140517	synthetica
-117.6831955	36.38075517	synthetica
-117.6783122	36.38025517	synthetica
-117.7320124	36.5651905	synthetica
-117.6164163	36.20107078	synthetica
-117.6214281	36.20748191	synthetica
-117.6065939	36.20389773	synthetica
-117.6647148	36.41240137	synthetica
-117.6654622	36.41420518	synthetica
-117.6656122	36.41418851	synthetica
-117.6649289	36.41428851	synthetica
-117.6650622	36.41517185	synthetica
-117.6648622	36.41520518	synthetica
-117.6885089	36.52640601	synthetica
-117.6704118	36.51840465	synthetica
-117.4928315	35.94076416	synthetica
-117.6305148	36.4313113	synthetica
-117.6255174	36.44110998	synthetica
-117.6230529	36.43709311	synthetica
-117.6228008	36.45860448	synthetica
-117.6252331	36.45852866	synthetica
-117.6243934	36.45401649	synthetica
-117.6227199	36.47500334	synthetica
-117.615615	36.48840954	synthetica
-117.6063104	36.50070864	synthetica
-117.6172632	36.51180406	synthetica
-117.2794793	35.42282783	synthetica
-117.5917134	36.50180964	synthetica
-117.5813282	36.50324901	synthetica
-117.5790452	36.50556797	synthetica
-117.5714765	36.53172101	synthetica
-117.8277124	37.37895527	synthetica
-117.8280457	37.37882194	synthetica
-117.8285957	37.3784386	synthetica
-117.8286624	37.37985527	synthetica
-117.8294457	37.37975527	synthetica
-117.8295124	37.3795886	synthetica
-117.8298457	37.38047194	synthetica
-117.8298457	37.38052194	synthetica
-117.8296624	37.38065527	synthetica
-117.8293291	37.3809386	synthetica
-117.8270957	37.37945527	synthetica
-117.8269957	37.37962194	synthetica
-117.8267624	37.37987194	synthetica
-117.8253624	37.3801386	synthetica
-117.8250791	37.3803386	synthetica
-117.8247791	37.3804886	synthetica
-117.8251624	37.38107194	synthetica
-116.9552619	34.443855	synthetica
-116.9512369	34.443866	synthetica
-116.9512369	34.443866	synthetica
-116.9479739	34.443866	synthetica
-116.9457619	34.443889	synthetica
-116.9516129	34.443866	synthetica
-116.9479739	34.443866	synthetica
-116.9490349	34.443866	synthetica
-116.9523979	34.443866	synthetica
-116.9370519	34.443935	synthetica
-116.9369739	34.443937	synthetica
-116.9391529	34.443935	synthetica
-116.9370519	34.443935	synthetica
-116.9378269	34.443935	synthetica
-116.9281249	34.444019	synthetica
-116.9281249	34.444019	synthetica
-116.9235599	34.444062	synthetica
-116.9128309	34.444139	synthetica
-116.9195499	34.444094	synthetica
-116.9102979	34.444043	synthetica
-116.9106459	34.444047	synthetica
-116.9110519	34.444064	synthetica
-117.7432217	37.34199058	synthetica
-116.9018259	34.443953	synthetica
-116.9044079	34.44398	synthetica
-116.8989099	34.443928	synthetica
-117.7281034	37.33947963	synthetica
-116.8930059	34.443881	synthetica
-116.8933659	34.443881	synthetica
-116.8882719	34.443842	synthetica
-116.8842959	34.443809	synthetica
-116.8842959	34.443809	synthetica
-117.033612	35.00317173	synthetica
-117.031812	35.00085506	synthetica
