xUTM,yUTM,Forest,Bird,Zones
1253511.589,11938202.87,2005,0.026671142,2
1473511.589,11958202.87,2005,0.100080601,2
1213511.589,11798202.87,2009,0.039220713,2
1563511.589,11958202.87,2010,0.031750573,2
1353511.589,11988202.87,2011,0.044447415,2
1363511.589,11938202.87,2012,0.037738847,2
1143511.589,12178202.87,2021,0.265704832,2
1253511.589,12008202.87,2030,0.039220713,2
1613511.589,12008202.87,2040,0.136574258,2
1283511.589,11858202.87,2046,0,2
1313511.589,11988202.87,2050,0.112480111,2
1163511.589,12188202.87,2051,0.255935955,2
1303511.589,11948202.87,2062,0,2
1183511.589,12168202.87,2068,0.231801959,2
1283511.589,12148202.87,2071,0.829280809,2
1263511.589,12168202.87,2076,0.732367894,2
1193511.589,11858202.87,2077,0,2
1253511.589,11928202.87,2077,0,2
1363511.589,11968202.87,2079,0.121358857,2
1253511.589,11828202.87,2084,0,2
1173511.589,12118202.87,2084,0.21130576,2
1303511.589,11838202.87,2086,0.173272403,2
1273511.589,11998202.87,2089,0.048790164,2
1383511.589,11828202.87,2099,0.039220713,2
1613511.589,11998202.87,2101,0,2
1403511.589,11828202.87,2102,0,2
1273511.589,11808202.87,2106,0,2
1603511.589,11998202.87,2109,0.080039631,2
1373511.589,11828202.87,2116,0.01904744,2
1233511.589,11918202.87,2125,0.080039631,2
1193511.589,11838202.87,2130,0.068994205,2
1203511.589,11908202.87,2133,0.129210822,2
1223511.589,11988202.87,2140,0.076961041,2
1713511.589,12088202.87,2144,0.076961041,2
1573511.589,11978202.87,2149,0.036370501,2
1553511.589,11978202.87,2149,0.044447415,2
1393511.589,12008202.87,2154,0,2
1413511.589,11998202.87,2164,0.062523993,2
1153511.589,12128202.87,2167,0.428452202,2
1473511.589,11968202.87,2180,0.09180404,2
1213511.589,11808202.87,2192,0,2
1313511.589,11908202.87,2193,0.039220713,2
1403511.589,11988202.87,2195,0.159061459,2
1353511.589,11828202.87,2201,0.081266574,2
1283511.589,11938202.87,2203,0.089612159,2
1343511.589,12038202.87,2204,0.393041588,2
1573511.589,12158202.87,2213,0.277631737,2
1203511.589,11888202.87,2231,0.039220713,2
1273511.589,12018202.87,2238,0.042561281,2
1213511.589,11928202.87,2241,0.113328685,2
1513511.589,11998202.87,2250,0,2
1623511.589,12138202.87,2253,0.169075886,2
1563511.589,12168202.87,2258,0.297248666,2
1413511.589,11988202.87,2263,0.028169488,2
1333511.589,11868202.87,2271,0.071455171,2
1683511.589,12148202.87,2275,0.122598091,2
1373511.589,12018202.87,2278,0.082234151,2
1673511.589,12048202.87,2281,0.111228267,2
1363511.589,11828202.87,2285,0,2
1743511.589,12148202.87,2285,0,2
1583511.589,12138202.87,2285,0.182321557,2
1153511.589,12178202.87,2289,0.238410417,2
1393511.589,12038202.87,2292,0.583945966,2
1693511.589,12088202.87,2303,0.09531018,2
1203511.589,12228202.87,2303,0.418710335,2
1323511.589,11998202.87,2312,0.417406854,2
1423511.589,11998202.87,2313,0.105359516,2
1273511.589,11948202.87,2316,0.080039631,2
1203511.589,11918202.87,2323,0.21511138,2
1223511.589,11938202.87,2334,0.076961041,2
1133511.589,12148202.87,2336,0.23639141,2
1403511.589,11838202.87,2340,0,2
1293511.589,12108202.87,2340,0.660928694,2
1213511.589,11978202.87,2341,0.151948256,2
1643511.589,12118202.87,2350,0.033898885,2
1253511.589,11958202.87,2351,0.064541646,2
1173511.589,12128202.87,2361,0.310157595,2
1393511.589,11988202.87,2364,0.141082809,2
1473511.589,11978202.87,2367,0.102655861,2
1393511.589,11848202.87,2382,0,2
1323511.589,11958202.87,2385,0.23639141,2
1303511.589,11818202.87,2390,0,2
1423511.589,11968202.87,2394,0.223143551,2
1243511.589,11938202.87,2403,0.074105115,2
1143511.589,12118202.87,2406,0.353638338,2
1513511.589,11988202.87,2409,0,2
1313511.589,11918202.87,2412,0,2
1313511.589,11878202.87,2422,0,2
1413511.589,11958202.87,2422,0.08701221,2
1343511.589,11878202.87,2424,0,2
1363511.589,11948202.87,2430,0.044447415,2
1253511.589,12018202.87,2441,0.209717828,2
1313511.589,11808202.87,2445,0,2
1283511.589,11848202.87,2452,0,2
1233511.589,11998202.87,2460,0.027401136,2
1333511.589,12048202.87,2462,0.416892895,2
1223511.589,11928202.87,2463,0.21511138,2
1163511.589,12178202.87,2470,0.100080601,2
1453511.589,11998202.87,2476,0.127830172,2
1313511.589,11958202.87,2479,0.21511138,2
1393511.589,11828202.87,2507,0.074105115,2
1623511.589,12008202.87,2513,0.023530963,2
1393511.589,12048202.87,2517,0.784955782,2
