"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","datasetstudy","forceday","forcenight","photonight"
"caffarra11a","exp3","Betula","pubescens","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","8","16","daystobudburst","timeonly",5.74,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,16
"caffarra11a","exp3","Tilia","cordata","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","8","16","daystobudburst","timeonly",6.05,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,16
"caffarra11a","exp3","Tilia","cordata","yes",52.32,-6.934,"europe",2003,"","","3","","105","18","","16","8","daystobudburst","timeonly",4.93,"daystobudburst",2520,2520,70.1297827068214,NA,NA,NA,2520,2520,70.1297827068214,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Fagus","sylvatica","yes",52.32,-6.934,"europe",2003,"","","3","","11","18","","16","8","daystobudburst","timeonly",61.23,"daystobudburst",264,264,6.58547339369995,NA,NA,NA,264,264,6.58547339369995,"caffarra11a exp3",18,NA,8
"caffarra11a","exp3","Betula","pubescens","yes",52.32,-6.934,"europe",2003,"","","3","","11","18","","16","8","daystobudburst","timeonly",38.27,"daystobudburst",264,264,6.58547339369995,NA,NA,NA,264,264,6.58547339369995,"caffarra11a exp3",18,NA,8
"caffarra11a","exp2","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","3","0","16","18","","16","8","daystobudburst","timeonly",5.25,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",18,NA,8
"caffarra11a","exp2","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","3","0","16","24","","16","8","daystobudburst","timeonly",2.94,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",24,NA,8
"caffarra11a","exp2","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","3","0","16","12","","16","8","daystobudburst","timeonly",8.02,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",12,NA,8
"caffarra11a","exp2","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","3","0","16","18","","16","8","daystobudburst","timeonly",4.77,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",18,NA,8
"caffarra11a","exp2","Fagus","sylvatica","yes",52.32,-6.934,"europe",2004,"","","3","0","16","12","","16","8","daystobudburst","timeonly",22.13,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",12,NA,8
"caffarra11a","exp2","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","3","0","16","32","","16","8","daystobudburst","timeonly",2.98,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",32,NA,8
"caffarra11a","exp2","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","3","0","16","12","","16","8","daystobudburst","timeonly",7.75,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",12,NA,8
"caffarra11a","exp2","Betula","pubescens","yes",52.32,-6.934,"europe",2004,"","","3","0","16","32","","16","8","daystobudburst","timeonly",2.14,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",32,NA,8
"caffarra11a","exp2","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","3","0","16","6","","16","8","daystobudburst","timeonly",12.16,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",6,NA,8
"caffarra11a","exp2","Tilia","cordata","yes",52.32,-6.934,"europe",2004,"","","3","0","16","32","","16","8","daystobudburst","timeonly",2.14,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",32,NA,8
"caffarra11a","exp2","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","3","0","16","24","","16","8","daystobudburst","timeonly",3.16,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",24,NA,8
"caffarra11a","exp2","Betula","pubescens","yes",52.32,-6.934,"europe",2004,"","","3","0","16","6","","16","8","daystobudburst","timeonly",12.2,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",6,NA,8
"caffarra11a","exp2","Salix","smithiana","yes",52.32,-6.934,"europe",2004,"","","3","0","16","6","","16","8","daystobudburst","timeonly",15.72,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",6,NA,8
"caffarra11a","exp2","Fagus","sylvatica","yes",52.32,-6.934,"europe",2004,"","","3","0","16","6","","16","8","daystobudburst","timeonly",28.99,"daystobudburst",384,384,9.96548966690231,NA,NA,NA,384,384,9.96548966690231,"caffarra11a exp2",6,NA,8
